"SA1_CODE16","time_to_acute_care","time_to_rehab_care"
30101100432,45.4114241429634,32.32364785907
30101100433,46.7639454887102,33.2910853823454
30101100434,44.7593181733389,32.1837565712804
30101100435,45.1267429902737,32.3644020655751
30101100436,46.0021285601927,33.0554953730201
30101100437,47.9541667190784,34.8741691251251
30101100438,45.6647603872454,33.1745493643472
30101100439,48.0953513783166,34.4695301656625
30101100440,48.5446401089502,34.8761753685064
30101100441,46.5611074600913,33.7552423422039
30101100442,45.9493634493664,33.1961762114036
30101100443,46.7391281273462,33.8022843614103
30101100444,47.4447615679977,34.1728387598929
30101100501,46.9947129222426,36.9423084560897
30101100502,47.5558728668024,37.0434800383524
30101100503,48.8627396397764,38.0064181558462
30101100504,49.3930253701608,38.2578773768138
30101100505,48.4643849878562,37.4657398165898
30101100506,47.6479952690396,36.9727741849254
