"SA2_MAIN16","SA2_NAME16"
"301021011","Sheldon - Mount Cotton"
"301011005","Thorneside"
"301021012","Thornlands"
"301021013","Victoria Point"
"301011006","Wellington Point"
"301021527","Redland Islands"
"308031216","Rockhampton - West"
"308031222","The Range - Allenstown"
"308031214","Park Avenue"
"308031215","Parkhurst - Kawana"
"308031211","Lakes Creek"
"308031205","Berserker"
"308031213","Norman Gardens"
"308031208","Frenchville - Mount Archer"
"307011176","Roma"
"317011449","Gowrie (Qld)"
"312021352","Sarina"
"307031188","Stanthorpe Region"
"307031187","Stanthorpe"
"318021480","Kelso"
"318021482","Kirwan - West"
"318021481","Kirwan - East"
"318021473","Deeragun"
"318021471","Condon - Rasmussen"
"318021470","Bohle Plains"
"318021486","Northern Beaches"
"317011456","Toowoomba - Central"
"317011457","Toowoomba - East"
"317011459","Wilsonton"
"317011454","North Toowoomba - Harlaxton"
"317011453","Newtown (Qld)"
"317011446","Darling Heights"
"317011452","Middle Ridge"
"317011455","Rangeville"
"317011447","Drayton - Harristown"
"318021467","Aitkenvale"
"318021490","Townsville City - North Ward"
"318021475","Garbutt - West End"
"318021472","Cranbrook"
"318021476","Gulliver - Currajong - Vincent"
"318021474","Douglas"
"318021477","Heatley"
"318021478","Hermit Park - Rosslea"
"318021479","Hyde Park - Pimlico"
"318021483","Magnetic Island"
"318021484","Mount Louisa"
"318021485","Mundingburra"
"318021468","Annandale"
"318021487","Oonoonba"
"318021469","Belgian Gardens - Pallarenda"
"318021488","South Townsville - Railway Estate"
"318021491","Wulguru - Roseneath"
"307031189","Warwick"
"307031185","Southern Downs - East"
"312031359","Airlie - Whitsundays"
"312031361","Proserpine"
"312031360","Cape Conway"
"308051537","South Trees"
"312021347","Mackay Harbour"
"306031163","Yarrabah"
"304041102","Mount Coot-tha"
"397979799","Migratory - Offshore - Shipping (Qld)"
