qas_location,x,y
Coomera,153.310182,-27.858234
Coochiemudlo,153.325432,-27.574571
Helensvale,153.336682,-27.936531
Nerang,153.338275,-28.005528
Mudgeeraba,153.355361,-28.052961
Macleay Island,153.363172,-27.628851
VMR Jacobs Well First Responder,153.370761,-27.782793
Karragarra Island,153.374112,-27.636911
Moreton Island (Tangalooma),153.374805,-27.1754
Russell Island,153.382477,-27.647898
Southport,153.395415,-27.97534
Runaway Bay,153.397634,-27.9114
Dunwich,153.399945,-27.497293
Mermaid Waters,153.409055,-28.04753
VMR Southport,153.414196,-27.967479
Kooringal First Responder,153.419246,-27.35537
Burleigh Heads,153.443115,-28.099149
Coolangatta,153.510725,-28.160878
Point Lookout,153.520035,-27.42636
Munruben,153.0248441,-27.75747903
Yarrabilba,153.1210275,-27.81399019
Midge Point First Responder,148.7078673,-20.64409724
Poruma Island First Responder,143.0640722,-10.0503111
